area_type,availability,location,size(in BHK),total_sqft,per_Sqft,bath,furnishing,transaction,parking,price
Builder_Floor,Ready_to_move,Rohini Sector 25,3,800,,2,Semi-Furnished,New_Property,1,6500000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,750,6667,2,Semi-Furnished,New_Property,1,5000000
Apartment,Ready_to_move,"Citizen Apartment, Rohini Sector 13",2,950,6667,2,Furnished,Resale,1,15500000
Builder_Floor,Ready_to_move,Rohini Sector 24,2,600,6667,2,Semi-Furnished,Resale,1,4200000
Builder_Floor,Ready_to_move,Rohini Sector 24 ,2,650,6667,2,Semi-Furnished,New_Property,1,6200000
Builder_Floor,Ready_to_move,Rohini Sector 24,4,1300,6667,3,Semi-Furnished,New_Property,1,15500000
Builder_Floor,Ready_to_move,Rohini Sector 24,4,1350,6667,3,Semi-Furnished,Resale,1,10000000
Apartment,Ready_to_move,"Delhi Homes, Rohini Sector 24",2,650,6154,2,Semi-Furnished,New_Property,1,4000000
Builder_Floor,Almost_ready,Rohini Sector 21,3,985,6154,3,Unfurnished,New_Property,1,6800000
Builder_Floor,Ready_to_move,Rohini Sector 22,4,1300,6154,4,Semi-Furnished,New_Property,1,15000000
Builder_Floor,Ready_to_move,Rohini Sector 20,3,1100,6154,2,Semi-Furnished,New_Property,1,6200000
Builder_Floor,Ready_to_move,Rohini Sector 25,3,870,6154,2,Semi-Furnished,New_Property,1,7700000
Builder_Floor,Ready_to_move,Rohini Sector 24,2,630,6154,2,Semi-Furnished,New_Property,1,5500000
Builder_Floor,Ready_to_move,Rohini Sector 24,2,660,6154,2,Semi-Furnished,Resale,1,5000000
Builder_Floor,Ready_to_move,Rohini Sector 8 ,2,344.4448,6154,2,Semi-Furnished,Resale,1,3310000
Builder_Floor,Ready_to_move,Rohini Sector 25 ,2,660,6154,2,Semi-Furnished,New_Property,1,4700000
Builder_Floor,Ready_to_move,Rohini Sector 22,2,550,6154,2,Semi-Furnished,New_Property,1,4500000
Builder_Floor,Ready_to_move,Rohini Sector 16,4,1100,6154,3,Semi-Furnished,New_Property,1,17000000
Apartment,Ready_to_move,Rohini Sector 14,3,1150,6154,3,Semi-Furnished,Resale,1,25000000
Builder_Floor,Ready_to_move,Rohini Sector 24,2,650,6154,2,Semi-Furnished,Resale,1,6000000
